Time,Ask,Bid,AskVolume,BidVolume
15.11.2012 14:50:15.365,1.27735,1.27730,1.73,1.73
15.11.2012 14:50:15.964,1.27735,1.27730,1.73,2.48
15.11.2012 14:50:16.505,1.27735,1.27730,1.50,2.48
15.11.2012 14:50:18.015,1.27735,1.27730,2.48,2.48
15.11.2012 14:50:18.945,1.27736,1.27730,1.50,1.73
15.11.2012 14:50:19.495,1.27736,1.27730,2.93,2.48
15.11.2012 14:50:20.067,1.27736,1.27730,2.70,2.48
15.11.2012 14:50:22.326,1.27734,1.27728,3.98,2.25
15.11.2012 14:50:22.447,1.27735,1.27730,1.50,1.50
15.11.2012 14:50:22.695,1.27734,1.27729,1.50,1.50
15.11.2012 14:50:23.017,1.27735,1.27727,3.23,2.48
15.11.2012 14:50:23.457,1.27735,1.27729,2.48,1.50
15.11.2012 14:50:24.663,1.27741,1.27734,2.63,12.60
15.11.2012 14:50:24.746,1.27740,1.27735,4.35,2.48
15.11.2012 14:50:24.810,1.27740,1.27736,3.38,1.50
15.11.2012 14:50:24.956,1.27737,1.27733,1.50,1.50
15.11.2012 14:50:25.556,1.27740,1.27733,7.95,1.50
15.11.2012 14:50:25.676,1.27737,1.27732,1.50,1.50
15.11.2012 14:50:26.158,1.27737,1.27730,2.25,3.98
15.11.2012 14:50:26.665,1.27737,1.27731,4.73,1.50
15.11.2012 14:50:28.507,1.27736,1.27730,2.25,2.48
15.11.2012 14:50:29.455,1.27734,1.27728,2.25,2.25
15.11.2012 14:50:29.997,1.27734,1.27727,2.48,3.98
15.11.2012 14:50:30.546,1.27734,1.27728,2.48,2.48
15.11.2012 14:50:31.537,1.27734,1.27727,3.98,3.23
15.11.2012 14:50:31.899,1.27731,1.27725,3.23,1.50
15.11.2012 14:50:32.405,1.27731,1.27726,1.50,6.00
15.11.2012 14:50:32.543,1.27734,1.27727,4.73,1.73
15.11.2012 14:50:33.085,1.27731,1.27727,1.50,1.50
15.11.2012 14:50:33.266,1.27734,1.27729,3.00,1.50
15.11.2012 14:50:33.827,1.27734,1.27728,3.98,2.48
15.11.2012 14:50:34.367,1.27732,1.27726,2.25,3.00
15.11.2012 14:50:34.726,1.27728,1.27723,1.73,2.48
15.11.2012 14:50:35.217,1.27728,1.27723,1.50,3.23
15.11.2012 14:50:35.806,1.27728,1.27722,1.73,3.98
15.11.2012 14:50:37.979,1.27729,1.27724,2.25,2.25
15.11.2012 14:50:38.286,1.27734,1.27728,2.25,2.25
15.11.2012 14:50:38.826,1.27734,1.27728,1.73,1.50
15.11.2012 14:50:41.765,1.27733,1.27728,1.73,2.25
15.11.2012 14:50:42.696,1.27733,1.27728,1.73,2.25
15.11.2012 14:50:44.286,1.27733,1.27728,5.48,2.25
15.11.2012 14:50:44.467,1.27730,1.27724,3.75,3.60
15.11.2012 14:50:44.776,1.27730,1.27723,8.10,1.13
15.11.2012 14:50:44.896,1.27727,1.27720,3.23,7.73
15.11.2012 14:50:45.188,1.27727,1.27720,3.98,3.98
15.11.2012 14:50:45.253,1.27727,1.27720,3.23,3.98
15.11.2012 14:50:47.239,1.27727,1.27720,3.98,3.00
15.11.2012 14:50:48.837,1.27725,1.27721,2.25,2.25
15.11.2012 14:50:48.983,1.27730,1.27723,3.75,5.25
15.11.2012 14:50:49.526,1.27731,1.27725,3.00,2.48
15.11.2012 14:50:49.828,1.27728,1.27720,12.83,3.75
15.11.2012 14:50:50.085,1.27724,1.27714,14.57,1.20
15.11.2012 14:50:50.206,1.27721,1.27715,1.35,1.20
15.11.2012 14:50:50.327,1.27720,1.27715,2.25,1.20
15.11.2012 14:50:50.386,1.27722,1.27717,1.50,1.73
